Teff	logg	GALEX_GALEX.FUV	GALEX_GALEX.NUV	SLOAN_SDSS.u	SLOAN_SDSS.g	SLOAN_SDSS.r	SLOAN_SDSS.i	SLOAN_SDSS.z	PAN-STARRS_PS1.g	PAN-STARRS_PS1.r	PAN-STARRS_PS1.i	PAN-STARRS_PS1.z	PAN-STARRS_PS1.y	Generic_Johnson.U	Generic_Johnson.B	Generic_Johnson.V	Generic_Johnson.R	Generic_Johnson.I	2MASS_2MASS.J	2MASS_2MASS.H	2MASS_2MASS.Ks	IUE_IUE.1250-1300	IUE_IUE.1450-1500	IUE_IUE.1675-1725	IUE_IUE.2150-2200	IUE_IUE.2395-2445	IUE_IUE.2900-2950	IUE_IUE.2900-3000	INT_IPHAS.gI	INT_IPHAS.gR	INT_IPHAS.Ha	INT_WFC.RGO_u	INT_WFC.Gunn_g	INT_WFC.HeII	
2600.0	5.0	3.495888532002785e-23	1.3823012586850154e-14	3.2600616202650275e-10	1.8938876940137325e-08	8.681695689356215e-08	8.849682845848352e-07	3.5223510132577894e-06	2.4679945286166394e-08	8.891833569527129e-08	9.55979015648186e-07	2.9490677289319714e-06	5.440472886013273e-06	3.390460589966677e-10	1.0726352225371617e-08	4.7551141937608445e-08	4.869130557155587e-07	3.234948267708956e-06	1.1219442259231243e-05	1.2833267049569287e-05	1.0670477717260987e-05	3.1152283399158853e-30	5.956441554987713e-26	1.1401590936622042e-22	1.5266199489325038e-17	1.7736827023764537e-15	1.5067271182318767e-12	1.3801745976893806e-12	1.2880062654917523e-06	8.986965266018336e-08	1.8338481529975206e-07	3.6552192867841505e-10	2.4191825048420572e-08	2.0424096629851402e-08
2600.0	5.5	3.803994619063401e-23	6.7810632775196225e-15	1.307579641794719e-10	1.3696851704479956e-08	7.452408878852772e-08	8.438025128499571e-07	3.524174528308529e-06	1.8403052521166243e-08	7.559955974092123e-08	9.155995330135406e-07	2.966408358773641e-06	5.421169711142593e-06	1.3731869941076885e-10	7.387430733637546e-09	3.686030069356603e-08	4.5925539074298395e-07	3.212879274107777e-06	1.12582780772959e-05	1.3049087106337078e-05	1.0320134128595464e-05	5.6342284006953684e-30	7.764306401421282e-26	1.11103786396713e-22	7.203102154774736e-18	9.136027660357535e-16	5.498428636662875e-13	5.117701207537777e-13	1.2617576969400907e-06	7.606437376684026e-08	1.7521526074996632e-07	1.4872811789455476e-10	1.7989969090248235e-08	1.5494111021547193e-08
2600.0	6.0	5.708116046135014e-23	4.808770136200164e-15	6.27166940242163e-11	1.0816792807980253e-08	7.05373458359741e-08	8.597527202504746e-07	3.6938547799151745e-06	1.4794840286475496e-08	7.060918719875558e-08	9.352610440755702e-07	3.15054454259251e-06	5.576167503241574e-06	6.566109812871008e-11	5.626351994424587e-09	3.055221432805567e-08	4.653560837632205e-07	3.327982465197789e-06	1.1454336066877e-05	1.3346964638911632e-05	9.962045626495772e-06	1.0048882047120693e-29	1.265099736671254e-25	1.5096486419744354e-22	5.7744886334068505e-18	6.899813179417435e-16	2.770459003263597e-13	2.6456328629657087e-13	1.3214048702209164e-06	7.061320573197666e-08	1.8882966997681628e-07	7.268829657431856e-11	1.4434358637914917e-08	1.2453681922403454e-08
2700.0	0.0	3.527560297944782e-27	3.0189605624294774e-14	1.2921851846091197e-09	5.495932194279693e-09	2.8306023361789804e-08	2.490941633168395e-07	1.3309394844257593e-06	6.723635901316906e-09	2.9592657215167914e-08	2.7198675683803764e-07	9.747693457587455e-07	2.3975670014202484e-06	1.1903164828377315e-09	4.480655825726329e-09	1.4979298654310688e-08	1.428256538958945e-07	1.3110044521026615e-06	9.214467915039389e-06	1.4428963250033544e-05	1.2524278120972766e-05	1.0244160023393513e-34	9.887643965986275e-30	8.150645411323242e-27	9.429189093233311e-20	2.675754488474865e-16	3.792207824731904e-12	4.277675835844772e-12	3.644395147420144e-07	3.057460383477366e-08	5.579309364186972e-08	1.4085291287194338e-09	6.2511627648800145e-09	2.7616690611624175e-09
2700.0	0.5	3.6264038506999427e-26	7.288384782447835e-14	2.5252948712197114e-09	9.856249815839294e-09	4.377130016624485e-08	3.636869082760827e-07	1.8211482395995488e-06	1.1702782493465588e-08	4.571103753224109e-08	3.956804388678443e-07	1.3665930798716729e-06	3.204466841999606e-06	2.328610050515562e-09	8.425688646841607e-09	2.4086694165495336e-08	2.0925541107457269e-07	1.7689118878814504e-06	1.080043477597019e-05	1.6263176983303098e-05	1.3279542738071422e-05	1.96128483068845e-33	1.1663048265487077e-28	9.050662595454895e-26	6.041101468243858e-19	9.192133453074881e-16	8.609766651041512e-12	9.267655886594171e-12	5.277955328783265e-07	4.7078155278772856e-08	8.346964162478839e-08	2.751078156385481e-09	1.0870440090407607e-08	5.07415403723994e-09
2700.0	1.0	2.7520442442070334e-25	1.3888675152351037e-13	4.024135475452813e-09	1.576272293506643e-08	6.527306703836569e-08	5.131840203598345e-07	2.3558825689017166e-06	1.8543989922998393e-08	6.782791272774124e-08	5.568184320687594e-07	1.8150234337516496e-06	4.0228398999434234e-06	3.7223979660786524e-09	1.374956937880695e-08	3.6842820167121834e-08	2.9493279344347884e-07	2.258314756923366e-06	1.193509507407859e-05	1.6980621343084745e-05	1.3421002102916835e-05	4.025267154201608e-32	1.4815226507126404e-27	7.173509615470904e-25	2.0145154166754973e-18	2.04386805498909e-15	1.5933977301399533e-11	1.7285032474169037e-11	7.337441069358184e-07	6.972812726924183e-08	1.2124230824078653e-07	4.39081678350188e-09	1.7263841739901296e-08	8.42427080689554e-09
2700.0	1.5	1.5037666955484454e-24	2.4796093397097035e-13	5.570938970736297e-09	2.3604113251686355e-08	9.351779148377278e-08	6.973549245884226e-07	2.9078201110913217e-06	2.7853488031530303e-08	9.669589724138056e-08	7.538955205588223e-07	2.3014816801545983e-06	4.795903859878901e-06	5.175390804740608e-09	2.0396987380804777e-08	5.4173083830751546e-08	4.0030473428165367e-07	2.755992650115042e-06	1.2734977307461884e-05	1.6972584436659562e-05	1.3169589376492725e-05	4.584365354654631e-31	1.1551762026382563e-26	3.962150857329038e-24	5.270185455932164e-18	4.3155805182049175e-15	2.800516313396705e-11	3.033902490815036e-11	9.794995608637582e-07	9.92564269673657e-08	1.699671423094832e-07	6.086006538023358e-09	2.6098540520358114e-08	1.3411772338336969e-08
2700.0	2.0	7.025941544686783e-24	5.147003871695438e-13	6.6852566903735226e-09	3.5033490240681114e-08	1.2880411165839085e-07	9.016599749940254e-07	3.329417683233541e-06	4.158987918157656e-08	1.3326138194428633e-07	9.679815027252033e-07	2.7276524854580945e-06	5.226910732085627e-06	6.258262697505199e-09	2.832445677407798e-08	7.773689559046419e-08	5.193800792215032e-07	3.1127120811724834e-06	1.1997946553145545e-05	1.3946170368521863e-05	1.1695397275905126e-05	2.3361370061890456e-30	4.525994574722985e-26	2.291629140167959e-23	2.619254084436534e-17	1.367680674446019e-14	5.341387659048768e-11	5.529739482124251e-11	1.2392002036045095e-06	1.3630303366989595e-07	2.286817450241808e-07	7.297544539657908e-09	3.9606883870757504e-08	2.2239649424347932e-08
2700.0	2.5	8.401781235721467e-23	1.061787119951717e-12	7.808847967067278e-09	5.3563384052373984e-08	1.8503014721227483e-07	1.198322961242465e-06	3.917626301673254e-06	6.37278288311641e-08	1.916658522120717e-07	1.2772701426086344e-06	3.302926925943843e-06	5.87326551179658e-06	7.371406913966531e-09	4.049169985901388e-08	1.1505117835066137e-07	6.944270899577294e-07	3.6335947150428648e-06	1.201627947248439e-05	1.327612610649233e-05	1.1681344697454049e-05	4.8509000129255613e-29	5.499176333508855e-25	3.091063600829767e-22	1.887697396705486e-16	4.815202089928864e-14	9.219513508806323e-11	9.269669128210171e-11	1.6047126072932533e-06	1.951967231198443e-07	3.1882661648159504e-07	8.524383363544392e-09	6.149885030111804e-08	3.8188659491354217e-08
2700.0	3.0	1.0203947110018194e-22	9.968142784901922e-13	6.882414289878698e-09	5.702037224859089e-08	2.0002363490770236e-07	1.3030088612015071e-06	4.1334687249123315e-06	6.870803517708033e-08	2.0624444300044826e-07	1.3883314779955136e-06	3.5152721848126704e-06	6.105115038204021e-06	6.55115097013635e-09	4.169937603391848e-08	1.2508566874865155e-07	7.515414685698388e-07	3.822784731804178e-06	1.194975316857066e-05	1.3102988081139843e-05	1.166538531249699e-05	6.068656328898673e-29	6.658449017613399e-25	3.7153693948221695e-22	1.998213387563481e-16	4.85026845104836e-14	9.399657834612683e-11	9.251828733909824e-11	1.7377369172269338e-06	2.0992544469805408e-07	3.459721368418924e-07	7.528222161114226e-09	6.656591445982063e-08	4.312938758543942e-08
